#ZJHHY
A|农、林、牧、渔业
A01|农业
A02|林业
A03|畜牧业
A04|渔业
A05|农、林、牧、渔专业及辅助性活动
B|采矿业
B06|煤炭开采和洗选业
B07|石油和天然气开采业
B08|黑色金属矿采选业
B09|有色金属矿采选业
B10|非金属矿采选业
B11|开采专业及辅助性活动
B12|其他采矿业
C|制造业
C13|农副食品加工业
C14|食品制造业
C15|酒、饮料和精制茶制造业
C16|烟草制品业
C17|纺织业
C18|纺织服装服饰业
C19|皮革、毛皮、羽毛及其制品和制鞋业
C20|木材加工和木、竹、藤、棕、草制品业
C21|家具制造业
C22|造纸和纸制品业
C23|印刷和记录媒介复制业
C24|文教、工美、体育和娱乐用品制造业
C25|石油、煤炭及其他燃料加工业
C26|化学原料和化学制品制造业
C27|医药制造业
C28|化学纤维制造业
C29|橡胶和塑料制品业
C30|非金属矿物制品业
C31|黑色金属冶炼和压延加工业
C32|有色金属冶炼和压延加工业
C33|金属制品业
C34|通用设备制造业
C35|专用设备制造业
C36|汽车制造业
C37|铁路、船舶、航空航天和其他运输设备制造业
C38|电气机械和器材制造业
C39|计算机、通信和其他电子设备制造业
C40|仪器仪表制造业
C41|其他制造业
C42|废弃资源综合利用业
C43|金属制品、机械和设备修理业
D|电力、热力、燃气及水生产和供应业
D44|电力、热力生产和供应业
D45|燃气生产和供应业  
D46|水的生产和供应业  
E|建筑业
E47|房屋建筑业
E48|土木工程建筑业
E49|建筑安装业
E50|建筑装饰、装修和其他建筑业
F|批发和零售业
F51|批发业
F52|零售业
G|交通运输、仓储和邮政业
G53|铁路运输业
G54|道路运输业
G55|水上运输业
G56|航空运输业
G57|管道运输业
G58|多式联运和运输代理业
G59|装卸搬运和仓储业
G60|邮政业
H|住宿和餐饮业
H61|住宿业
H62|餐饮业
I|信息传输、软件和信息技术服务业
I63|电信、广播电视和卫星传输服务
I64|互联网和相关服务
I65|软件和信息技术服务业
J|金融业
J66|货币金融服务
J67|资本市场服务
J68|保险业
J69|其他金融业
K|房地产业
K70|房地产业
L|租赁和商务服务业
L71|租赁业
L72|商务服务业
M|科学研究和技术服务业
M73|研究和试验发展
M74|专业技术服务业
M75|科技推广和应用服务业
N|水利、环境和公共设施管理业
N76|水利管理业
N77|生态保护和环境治理业
N78|公共设施管理业
N79|土地管理业
O|居民服务、修理和其他服务业
O80|居民服务业
O81|机动车、电子产品和日用产品修理业
O82|其他服务业
P|教育
P83|教育
Q|卫生和社会工作
Q84|卫生
Q85|社会工作
R|文化、体育和娱乐业
R86|新闻和出版业
R87|广播、电视、电影和录音制作业
R88|文化艺术业
R89|体育
R90|娱乐业
S|综合
S91|综合
######
#TDXNHY
T01|能源
T0101|煤炭
T010101|煤炭开采
T010102|焦炭加工
T0102|电力
T010201|水力发电
T010202|火力发电
T010203|新型电力
T0103|石油
T010301|石油开采
T010302|石油加工
T010303|石油贸易
T02|材料
T0201|钢铁
T020101|普钢
T020102|特种钢
T020103|钢加工
T0202|有色
T020201|铜
T020202|铝
T020203|铅锌
T020204|黄金
T020205|小金属
T0203|化纤
T0204|化工
T020401|化工原料
T020402|农药化肥
T020404|塑料
T020405|橡胶
T020406|染料涂料
T0206|建材
T020601|陶瓷
T020602|水泥
T020603|玻璃
T020604|其他建材
T0207|造纸
T0208|矿物制品
T03|日常消费
T0301|日用化工
T0302|农林牧渔
T030201|种植业
T030202|渔业
T030203|林业
T030204|饲料
T030206|农业综合
T0303|纺织服饰
T030301|纺织
T030302|服饰
T0304|食品饮料
T030401|乳制品
T030402|软饮料
T030403|食品
T0305|酿酒
T030501|白酒
T030502|啤酒
T030503|红黄酒
T04|可选消费
T0401|家用电器
T0402|汽车类
T040201|汽车整车
T040202|汽车配件
T040203|汽车服务
T040204|摩托车
T0403|医疗保健
T0404|家居用品
T0405|医药
T040501|化学制药
T040502|生物制药
T040503|中成药
T05|商贸
T0501|商业连锁
T050101|百货
T050102|超市连锁
T050103|电器连锁
T050104|医药商业
T050105|其他商业
T050106|商品城
T050107|批发业
T0502|商贸代理
T06|社会服务
T0601|传媒娱乐
T060101|出版业
T060102|影视音像
T0602|广告包装
T0603|文教休闲
T0604|酒店餐饮
T0605|旅游
T060501|旅游服务
T060502|旅游景点
T07|装备制造
T0701|航空
T0702|船舶
T0703|运输设备
T0704|通用机械
T070401|机床制造
T070402|机械基件
T0705|工业机械
T070501|化工机械
T070502|轻工机械
T070504|纺织机械
T070505|农用机械
T070506|专用机械
T0706|电气设备
T0707|工程机械
T0708|电器仪表
T08|公用事业
T0801|电信运营
T0802|公共交通
T0803|水务
T0804|供气供热
T0805|环境保护
T09|交通运输
T0901|运输服务
T090101|铁路
T090102|水运
T090103|空运
T090104|公路
T0902|仓储物流
T0903|交通设施
T090301|路桥
T090302|机场
T090303|港口
T10|金融
T1001|银行
T1002|证券
T1003|保险
T1004|多元金融
T11|建筑地产
T1101|建筑
T110101|建筑工程
T110102|装修装饰
T1102|房地产
T110201|全国地产
T110202|区域地产
T110203|园区开发
T110204|房产服务
T12|信息产业
T1201|IT设备
